Date,Rate,High (est),Low (est)
1996-03-27,0.999936,1.0121,0.98788
1996-03-28,0.99977,1.0122,0.98751
1996-03-29,1.0,0.0,0.0
1996-04-01,0.999936,1.0121,0.98788
1996-04-02,0.999936,0.0,0.0
1996-04-03,1.00003,1.0117,0.98848
1996-04-04,1.0,0.0,0.0
1996-04-05,1.0,0.0,0.0
1996-04-08,1.0,0.0,0.0
1996-04-09,1.0,0.0,0.0
1996-04-10,1.0,0.0,0.0
1996-04-11,1.0,0.0,0.0
1996-04-12,1.00013,1.0117,0.98871
1996-04-15,1.00013,0.0,0.0
1996-04-16,1.00013,0.0,0.0
1996-04-17,1.00013,0.0,0.0
1996-04-18,1.00013,0.0,0.0
1996-04-19,1.00013,0.0,0.0
1996-04-22,1.00013,0.0,0.0
1996-04-23,1.00013,0.0,0.0
1996-04-24,1.00013,0.0,0.0
1996-04-25,1.00013,0.0,0.0
1996-04-26,1.00013,0.0,0.0
1996-04-29,1.00013,0.0,0.0
1996-04-30,1.00013,0.0,0.0
1996-05-01,1.00013,0.0,0.0
1996-05-02,1.00013,0.0,0.0
1996-05-03,1.00013,0.0,0.0
1996-05-06,1.00001,1.0122,0.98795
1996-05-07,1.00001,0.0,0.0
1996-05-08,1.00001,0.0,0.0
1996-05-09,1.00001,0.0,0.0
1996-05-10,1.00001,0.0,0.0
1996-05-13,1.00001,0.0,0.0
1996-05-14,1.00001,0.0,0.0
1996-05-15,1.00001,0.0,0.0
1996-05-16,1.00001,0.0,0.0
1996-05-17,1.00001,0.0,0.0
1996-05-20,1.00001,0.0,0.0
1996-05-21,1.00001,0.0,0.0
1996-05-22,1.00001,0.0,0.0
1996-05-23,1.00001,0.0,0.0
1996-05-24,1.00001,0.0,0.0
1996-05-27,1.00001,0.0,0.0
1996-05-28,1.00001,0.0,0.0
1996-05-29,1.00001,0.0,0.0
1996-05-30,1.00001,0.0,0.0
1996-05-31,1.00001,0.0,0.0
1996-06-03,1.00001,0.0,0.0
1996-06-04,1.00001,0.0,0.0
1996-06-05,1.00001,0.0,0.0
1996-06-06,1.00001,0.0,0.0
1996-06-07,1.00001,0.0,0.0
1996-06-10,1.00001,0.0,0.0
1996-06-11,1.00001,0.0,0.0
1996-06-12,1.00001,0.0,0.0
1996-06-13,1.00001,0.0,0.0
1996-06-14,1.00001,0.0,0.0
1996-06-17,1.00001,0.0,0.0
1996-06-18,1.00001,0.0,0.0
1996-06-19,1.00001,0.0,0.0
1996-06-20,1.00001,0.0,0.0
1996-06-21,1.00001,0.0,0.0
1996-06-24,1.00001,0.0,0.0
1996-06-25,1.00001,0.0,0.0
1996-06-26,1.00001,0.0,0.0
1996-06-27,0.999713,1.0109,0.98864
1996-06-28,0.999713,0.0,0.0
1996-07-01,0.999793,1.012,0.98774
1996-07-02,0.999793,0.0,0.0
1996-07-03,0.999793,0.0,0.0
1996-07-04,0.999793,0.0,0.0
1996-07-05,0.999793,0.0,0.0
1996-07-08,0.999793,0.0,0.0
1996-07-09,0.999793,0.0,0.0
1996-07-10,0.999793,0.0,0.0
1996-07-11,0.999793,0.0,0.0
1996-07-12,0.999793,0.0,0.0
1996-07-15,0.999838,0.0,0.0
1996-07-16,0.999838,0.0,0.0
1996-07-17,0.999838,0.0,0.0
1996-07-18,0.999838,0.0,0.0
1996-07-19,0.999838,0.0,0.0
1996-07-22,0.999838,0.0,0.0
1996-07-23,1.0,0.0,0.0
1996-07-24,1.00013,1.0117,0.98871
1996-07-25,1.00014,1.0118,0.98859
1996-07-26,1.00014,0.0,0.0
1996-07-29,1.00014,0.0,0.0
1996-07-30,1.0,0.0,0.0
1996-07-31,1.0,0.0,0.0
1996-08-01,1.0,0.0,0.0
1996-08-02,1.0,0.0,0.0
1996-08-05,1.00006,1.0117,0.98852
1996-08-06,1.00006,0.0,0.0
1996-08-07,0.999915,0.0,0.0
1996-08-08,0.999915,0.0,0.0
1996-08-09,0.999915,0.0,0.0
1996-08-12,0.999915,0.0,0.0
1996-08-13,0.999915,0.0,0.0
1996-08-14,0.999915,0.0,0.0
1996-08-15,1.0,0.0,0.0
1996-08-16,1.0,0.0,0.0
1996-08-19,1.0,0.0,0.0
1996-08-20,1.0,0.0,0.0
1996-08-21,1.0,0.0,0.0
1996-08-22,1.00026,1.0124,0.98826
1996-08-23,1.00026,0.0,0.0
1996-08-26,1.00026,0.0,0.0
1996-08-27,1.00026,0.0,0.0
1996-08-28,1.00027,1.0118,0.98886
1996-08-29,1.00027,0.0,0.0
1996-08-30,1.00027,0.0,0.0
1996-09-02,1.00027,0.0,0.0
1996-09-03,1.0,0.0,0.0
1996-09-04,1.0,0.0,0.0
1996-09-05,1.00013,1.0117,0.98871
1996-09-06,1.00013,0.0,0.0
1996-09-09,1.0,0.0,0.0
1996-09-10,1.0,0.0,0.0
1996-09-11,1.00013,1.0117,0.98871
1996-09-12,1.00013,0.0,0.0
1996-09-13,1.00013,0.0,0.0
1996-09-16,1.00014,1.0118,0.98859
1996-09-17,1.00014,0.0,0.0
1996-09-18,1.00016,1.0117,0.98875
1996-09-19,0.999953,0.0,0.0
1996-09-20,0.999953,0.0,0.0
1996-09-23,0.999953,0.0,0.0
1996-09-24,0.999953,0.0,0.0
1996-09-25,0.999953,0.0,0.0
1996-09-26,1.0,0.0,0.0
1996-09-27,1.0,0.0,0.0
1996-09-30,1.0,0.0,0.0
1996-10-01,1.00013,1.0117,0.98871
1996-10-02,1.00014,1.0118,0.98859
1996-10-03,0.999915,0.0,0.0
1996-10-04,0.999915,0.0,0.0
1996-10-07,1.0,0.0,0.0
1996-10-08,1.0,0.0,0.0
1996-10-09,1.00006,1.0117,0.98852
1996-10-10,1.00016,1.0117,0.98875
1996-10-11,1.00016,0.0,0.0
1996-10-14,1.00016,0.0,0.0
1996-10-15,1.00016,0.0,0.0
1996-10-16,1.00016,0.0,0.0
1996-10-17,0.999753,1.0116,0.988
1996-10-18,0.999753,0.0,0.0
1996-10-21,0.999685,0.0,0.0
1996-10-22,0.999685,0.0,0.0
1996-10-23,0.99999,1.0117,0.98845
1996-10-24,0.99999,0.0,0.0
1996-10-25,0.99999,0.0,0.0
1996-10-28,0.99999,0.0,0.0
1996-10-29,1.00016,1.0117,0.98875
1996-10-30,1.00016,0.0,0.0
1996-10-31,1.00016,0.0,0.0
1996-11-01,1.00016,0.0,0.0
1996-11-04,1.00016,0.0,0.0
1996-11-05,1.00016,0.0,0.0
1996-11-06,1.00016,0.0,0.0
1996-11-07,1.00016,0.0,0.0
1996-11-08,1.00016,0.0,0.0
1996-11-11,1.00016,0.0,0.0
1996-11-12,1.00016,0.0,0.0
1996-11-13,1.00016,0.0,0.0
1996-11-14,1.00016,0.0,0.0
1996-11-15,1.00016,0.0,0.0
1996-11-18,1.00014,1.0118,0.98859
1996-11-19,1.00014,0.0,0.0
1996-11-20,1.00014,0.0,0.0
1996-11-21,1.00014,0.0,0.0
1996-11-22,1.00014,0.0,0.0
1996-11-25,1.0,0.0,0.0
1996-11-26,1.0,0.0,0.0
1996-11-27,1.0,0.0,0.0
1996-11-28,1.0,0.0,0.0
1996-11-29,1.0,0.0,0.0
1996-12-02,1.0,0.0,0.0
1996-12-03,1.0,0.0,0.0
1996-12-04,1.0,0.0,0.0
1996-12-05,1.0,0.0,0.0
1996-12-06,1.0,0.0,0.0
1996-12-09,1.0,0.0,0.0
1996-12-10,1.00006,1.0117,0.98852
1996-12-11,1.00006,0.0,0.0
1996-12-12,1.00006,0.0,0.0
1996-12-13,1.00006,0.0,0.0
1996-12-16,1.0,0.0,0.0
1996-12-17,0.999936,1.0121,0.98788
1996-12-18,0.999936,0.0,0.0
1996-12-19,0.999936,0.0,0.0
1996-12-20,0.999936,0.0,0.0
1996-12-23,0.999936,0.0,0.0
1996-12-24,0.999936,0.0,0.0
1996-12-25,0.999936,0.0,0.0
1996-12-26,1.00003,1.0117,0.98848
1996-12-27,1.00003,0.0,0.0
1996-12-30,1.00003,0.0,0.0
1996-12-31,1.00003,0.0,0.0
1997-01-01,1.00003,0.0,0.0
1997-01-02,1.00003,0.0,0.0
1997-01-03,1.00003,0.0,0.0
1997-01-06,1.00003,0.0,0.0
1997-01-07,1.00003,0.0,0.0
1997-01-08,1.00003,0.0,0.0
1997-01-09,1.00003,0.0,0.0
1997-01-10,1.00003,0.0,0.0
1997-01-13,1.00003,0.0,0.0
1997-01-14,1.00003,0.0,0.0
1997-01-15,1.00003,0.0,0.0
1997-01-16,1.00003,0.0,0.0
1997-01-17,1.00003,0.0,0.0
1997-01-20,1.00003,0.0,0.0
1997-01-21,1.00003,0.0,0.0
1997-01-22,1.00003,0.0,0.0
1997-01-23,0.999841,1.0123,0.98758
1997-01-24,0.999841,0.0,0.0
1997-01-27,0.999841,0.0,0.0
1997-01-28,0.999841,0.0,0.0
1997-01-29,0.999841,0.0,0.0
1997-01-30,0.999841,0.0,0.0
1997-01-31,0.999841,0.0,0.0
1997-02-03,1.00002,1.0116,0.9886
1997-02-04,1.00002,0.0,0.0
1997-02-05,1.00002,0.0,0.0
1997-02-06,1.00002,0.0,0.0
1997-02-07,1.00002,0.0,0.0
1997-02-10,1.00002,0.0,0.0
1997-02-11,1.0,0.0,0.0
1997-02-12,1.0,0.0,0.0
1997-02-13,1.0,0.0,0.0
1997-02-14,1.0,0.0,0.0
1997-02-17,1.0,0.0,0.0
1997-02-18,1.0,0.0,0.0
1997-02-19,1.0,0.0,0.0
1997-02-20,1.0,0.0,0.0
1997-02-21,1.0,0.0,0.0
1997-02-24,1.0,0.0,0.0
1997-02-25,1.0,0.0,0.0
1997-02-26,1.0,0.0,0.0
1997-02-27,1.0,0.0,0.0
1997-02-28,1.0,0.0,0.0
1997-03-03,1.0,0.0,0.0
1997-03-04,1.0,0.0,0.0
1997-03-05,1.0,0.0,0.0
1997-03-06,1.0,0.0,0.0
1997-03-07,1.0,0.0,0.0
1997-03-10,1.0,0.0,0.0
1997-03-11,1.0,0.0,0.0
1997-03-12,1.0,0.0,0.0
1997-03-13,1.0,0.0,0.0
