Date,Rate,High (est),Low (est)
1991-03-06,2973.43,0.0,0.0
1991-03-07,2973.53,0.0,0.0
1991-03-08,2972.59,3007.0,2938.6
1991-03-11,2973.39,0.0,0.0
1991-03-12,2974.88,3009.8,2940.4
1991-03-13,2975.73,3012.3,2939.7
1991-03-14,2976.89,3013.6,2940.6
1991-03-15,2977.66,3012.0,2943.7
1991-03-18,2979.22,3014.9,2943.9
1991-03-19,2980.64,3015.7,2946.0
1991-03-20,2981.53,3015.6,2947.8
1991-03-21,2981.53,0.0,0.0
1991-03-22,2982.43,3019.4,2945.9
1991-03-25,2983.51,3018.2,2949.2
1991-03-26,2984.13,0.0,0.0
1991-03-27,2982.96,3019.3,2947.0
1991-03-28,2982.96,0.0,0.0
1991-03-29,2982.96,0.0,0.0
1991-04-01,2982.09,3017.6,2947.0
1991-04-02,2984.9,0.0,0.0
1991-04-03,2986.27,0.0,0.0
1991-04-04,2984.8,3020.1,2949.9
1991-04-05,2984.2,0.0,0.0
1991-04-08,2985.16,0.0,0.0
1991-04-09,2986.06,3019.6,2952.9
1991-04-10,2986.16,0.0,0.0
1991-04-11,2985.28,3018.3,2952.6
1991-04-12,2984.45,0.0,0.0
1991-04-15,2985.6,0.0,0.0
1991-04-16,2990.45,3025.5,2955.8
1991-04-17,2992.92,0.0,0.0
1991-04-18,2993.41,3030.6,2956.7
1991-04-19,2993.41,0.0,0.0
1991-04-22,2994.63,0.0,0.0
1991-04-23,2995.48,3029.1,2962.2
1991-04-24,2995.47,3030.9,2960.5
1991-04-25,2995.33,3030.4,2960.7
1991-04-26,2995.33,0.0,0.0
1991-04-29,2997.1,0.0,0.0
1991-04-30,2997.1,0.0,0.0
1991-05-01,2998.79,3034.0,2964.0
1991-05-02,2998.75,3032.9,2965.0
1991-05-03,2998.75,0.0,0.0
1991-05-06,3000.17,3033.7,2967.0
1991-05-07,3001.21,3035.6,2967.2
1991-05-08,3001.4,0.0,0.0
1991-05-09,3001.37,3036.5,2966.7
1991-05-10,3001.37,0.0,0.0
1991-05-13,3002.97,3039.3,2967.1
1991-05-14,3004.06,3041.0,2967.5
1991-05-15,3004.21,3037.7,2971.1
1991-05-16,3003.31,3037.8,2969.2
1991-05-17,3003.31,0.0,0.0
1991-05-20,3004.58,0.0,0.0
1991-05-21,3004.58,0.0,0.0
1991-05-22,3005.07,0.0,0.0
1991-05-23,3004.14,3037.9,2970.8
1991-05-24,3004.14,0.0,0.0
1991-05-27,3006.25,0.0,0.0
1991-05-28,3008.93,3044.8,2973.5
1991-05-29,3009.69,0.0,0.0
1991-05-30,3010.36,3046.9,2974.2
1991-05-31,3010.36,0.0,0.0
1991-06-03,3011.7,3048.7,2975.2
1991-06-04,3012.55,0.0,0.0
1991-06-05,3013.0,3047.7,2978.7
1991-06-06,3013.06,0.0,0.0
1991-06-07,3013.06,0.0,0.0
1991-06-10,3014.27,3051.9,2977.1
1991-06-11,3015.14,3051.5,2979.2
1991-06-12,3015.27,3052.9,2978.1
1991-06-13,3015.29,3052.0,2979.0
1991-06-14,3015.29,0.0,0.0
1991-06-17,3016.88,3050.3,2983.9
1991-06-18,3017.93,3055.0,2981.4
1991-06-19,3018.31,3053.0,2984.0
1991-06-20,3016.04,0.0,0.0
1991-06-21,3016.04,0.0,0.0
1991-06-24,3016.78,0.0,0.0
1991-06-25,3020.03,0.0,0.0
1991-06-26,3021.1,0.0,0.0
1991-06-27,3018.7,0.0,0.0
1991-06-28,3018.7,0.0,0.0
1991-07-01,3020.89,0.0,0.0
1991-07-02,3023.46,0.0,0.0
1991-07-03,3023.46,0.0,0.0
1991-07-04,3023.97,0.0,0.0
1991-07-05,3023.97,0.0,0.0
1991-07-08,3025.3,0.0,0.0
1991-07-09,3026.15,0.0,0.0
1991-07-10,3026.71,0.0,0.0
1991-07-11,3027.02,0.0,0.0
1991-07-12,3027.02,0.0,0.0
1991-07-15,3028.5,3062.1,2995.3
1991-07-16,3029.62,3063.0,2996.6
1991-07-17,3029.43,3065.5,2993.8
1991-07-18,3028.91,3062.5,2995.6
